Date,Service,Cost (USD)
2025-06-19,AWS Backup,1.0203410501
2025-06-19,AWS Config,0.72708
2025-06-19,AWS Cost Explorer,0.0166
2025-06-19,AWS DataSync,6.37864e-05
2025-06-19,AWS Database Migration Service,2.7308106624
2025-06-19,AWS Glue,10.1983191141
2025-06-19,AWS HealthImaging,3.3214e-05
2025-06-19,AWS Key Management Service,2.828182428
2025-06-19,AWS Lambda,10.1595648782
2025-06-19,AWS Secrets Manager,1.7779736104
2025-06-19,AWS Step Functions,0.4348555302
2025-06-19,AWS Systems Manager,0.0140685
2025-06-19,AWS WAF,1.08894921
2025-06-19,AWS X-Ray,1.36359455
2025-06-19,Amazon API Gateway,0.4156830432
2025-06-19,Amazon Athena,3.616144
2025-06-19,Amazon CloudFront,0.0014598024
2025-06-19,Amazon DynamoDB,0.9832138493
2025-06-19,Amazon EC2 Container Registry (ECR),4.9560836943
2025-06-19,EC2 - Other,22.7566712562
2025-06-19,Amazon Elastic Compute Cloud - Compute,88.2038033207
2025-06-19,Amazon Elastic Container Service,0.0066331777
2025-06-19,Amazon Elastic Load Balancing,4.9382678718
2025-06-19,Amazon Elastic MapReduce,63.2172856997
2025-06-19,Amazon Glacier,4.2e-08
2025-06-19,Amazon GuardDuty,15.4268531129
2025-06-19,Amazon Kinesis,0.9136406408
2025-06-19,Amazon Kinesis Firehose,0.1414092072
2025-06-19,Amazon Neptune,0.0001139208
2025-06-19,Amazon OpenSearch Service,3.4378974805
2025-06-19,Amazon Quantum Ledger Database,2.382e-07
2025-06-19,Amazon QuickSight,13.9440001176
2025-06-19,Amazon Redshift,54.8499837663
2025-06-19,Amazon Relational Database Service,40.5551328756
2025-06-19,Amazon Route 53,0.1986952494
2025-06-19,Amazon Simple Email Service,0.0050736567
2025-06-19,Amazon Simple Notification Service,1.0217574177
2025-06-19,Amazon Simple Queue Service,3.2016265751
2025-06-19,Amazon Simple Storage Service,72.4467623152
2025-06-19,Amazon Simple Workflow Service,1.212e-07
2025-06-19,Amazon Timestream,10.6284266688
2025-06-19,Amazon Virtual Private Cloud,12.7239588541
2025-06-19,AmazonCloudWatch,68.6514092104
2025-06-19,CloudWatch Events,0.01780018
2025-06-20,AWS Backup,1.0205742541
2025-06-20,AWS Config,0.28137
2025-06-20,AWS Cost Explorer,0.0166
2025-06-20,AWS Database Migration Service,2.7308106624
2025-06-20,AWS Glue,9.2994709052
2025-06-20,AWS HealthImaging,3.3214e-05
2025-06-20,AWS Key Management Service,2.8045991758
2025-06-20,AWS Lambda,9.3852578905
2025-06-20,AWS Secrets Manager,1.7668391604
2025-06-20,AWS Step Functions,0.4174405811
2025-06-20,AWS Systems Manager,0.0140602
2025-06-20,AWS WAF,1.08878985
2025-06-20,AWS X-Ray,1.32202815
2025-06-20,Amazon API Gateway,0.4236742787
2025-06-20,Amazon Athena,4.2191722
2025-06-20,Amazon CloudFront,0.001555245
2025-06-20,Amazon DynamoDB,0.9347546159
2025-06-20,Amazon EC2 Container Registry (ECR),4.9852366794
2025-06-20,EC2 - Other,21.8820492153
2025-06-20,Amazon Elastic Compute Cloud - Compute,64.016961504
2025-06-20,Amazon Elastic Container Service,0.0066331684
2025-06-20,Amazon Elastic Load Balancing,4.9363811439
2025-06-20,Amazon Elastic MapReduce,57.1049875813
2025-06-20,Amazon Glacier,4.2e-08
2025-06-20,Amazon GuardDuty,14.8671571496
2025-06-20,Amazon Kinesis,0.912981438
